Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera Project Network,Advanced,5,https://www.coursera.org/learn/nodejs-api-aws-elastic-beanstalk,"In this 1-hour long project-based course, you will learn how to create a Node.js RESTful API & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Express.js, or simply Express, a back end web application framework for Node.js framework to create your RESTful API & AWS desktop management console to deploy the RESTful API to the AWS servers. Additionally, you will learn more about reading the server logs, how to switch between different versions of your API applications & also, monitoring your AWS servers using Elastic Beanstalk Management Console.  Note: To avoid distraction for set up during the course, we would recommend that you create an Amazon AWS account beforehand. Amazon AWS provides a free tier option for 1 year & the course materials will utilize services that fall under the free tier option.",representational state transfer  uniform resource locator  Cloud Computing  web application  ordered pair  hypertext transfer protocol  virtual private server  web  application programming interfaces  Switches information-technology cloud-computing
The Music of American English Pronunciation,"University of California, Irvine",Beginner,4.7,https://www.coursera.org/learn/american-english-pronunciation-music,"In this third course of The Pronunciation of American English specialization, you will learn and practice the ""music"" of American English, the features of pronunciation such as stress, rhythm, and intonation that will help improve your listening comprehension as well as your ability to communicate more clearly. Each week you will receive practical advice from successful English learners and practice an effective technique called shadowing to improve your pronunciation of the musical features of English.  You will also have opportunities to record yourself and to respond to the recordings of other learners.  Only learners who pay for the course will be able to take the graded quizzes or submit assignments for feedback. The free version provides access to the lectures and practice activities only.",Receiving  english grammar  translation  data clustering algorithms  speech  music  grammar  stress  english language  phonetics language-learning learning-english
Advanced Speaking and Listening Project,"University of California, Irvine",Advanced,5,https://www.coursera.org/learn/speaking-listening-capstone,"Learners will present a well-organized academic speech on a topic in an academic field of the learner's choice. The learner will need to recall all of the skills learned in the previous three courses and complete several steps to complete the project. The learner will choose an academic topic and will then need to do some research, interview a couple of experts in the field, create visual elements, and record a video of the presentation. The presenter will use techniques for preparing and practicing a presentation and demonstrate effective verbal and non-verbal skills. Doing this will help prepare you for presentations in school or work.",project  rapid serial visual presentation  panel discussion  Critical Thinking  listening  speech  english language  Language Learning  presentation  language language-learning learning-english
Hybrid Cloud Service Mesh with Anthos,Google Cloud,Beginner,4.8,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos,"This on-demand course equips students to understand and adopt Istio-based service-mesh with Anthos for centralized observability, traffic management, and service-level security.",authentication  multiplexed transport layer security  it service management  authorization  service discovery  load balancing  application layer  access control  intelligent network  traffic management information-technology cloud-computing
Cryptography and Hashing Overview,"University of California, Irvine",Conversant,4.7,https://www.coursera.org/learn/crypto-hashing,"Continue learning about blockchain technology by diving into the nature of ownership and how the blockchain is one way to approach decentralized transaction handling. This course also demystifies cryptography and hashing, which are critical for authenticating users and guaranteeing transaction privacy.  This course requires the purchase of two books for the completion of assignments:  Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032) Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065)",Average  Cryptography  encryption  hash function  public-key cryptography  string (computer science)  verification and validation  hashing  password  BlockChain computer-science algorithms
Postman - Intro to APIs (without coding),Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/laura-gemmell-intro-postman-apis,"We use APIs everyday - when we check the news, when we log into online service - because APIs are used by many companies as a way to interact with their product or service. Being able understand and send API requests is helpful in many roles across the business - including product, marketing and data. If you work alongside or interact with APIs in your job, or you want to use APIs in your tech or data projects, this course is a great introduction to interacting with APIs without writing could (using a program called Postman). By the end of this project, you will understand what APIs are and what they are used for. You will have interacted with a number of APIs, and recognise the different parts which make up an API. You will feel comfortable reading API documentation and writing your own requests.",project mine  Marketing  news  network news transfer protocol  project  Writing  application programming interfaces  uniform resource locator  numbers (spreadsheet)  interact information-technology data-management
Protecting Business Innovations via Patent,The Hong Kong University of Science and Technology,Beginner,4.8,https://www.coursera.org/learn/protect-business-innovations-patent,"Protecting Business Innovations via Patent  Watch Course Overview:  https://youtu.be/mUja4iwbrTE  This course assumes no prior knowledge in law, business or engineering.  However, students with backgrounds in all three areas will find useful concepts or ideas in the course on how to protect business innovations using patents.  The approach taken in this course is practical and commercial rather than theoretical. A combination of lectures and case studies help to illustrate the concepts and make the course more interesting.     After completing this course, students should be able to understand how patents are issued and protect innovations, including: What is a patent? What do they protect? How do we get a patent? Where are patents valid? How much do they cost?   In addition to basic concepts the course also deals with Advanced topics such as: software patents, business process patents, patenting life, patent trolls and multiple case examples of large and small companies using patents and patent lawsuits.   We also expect you to have fun in this course.  So go forth and enjoy!  Other courses in the Protecting Business Innovations series: 1. Copyright:     https://www.coursera.org/learn/protect-business-innovations-copyright 2. Trademark:  https://www.coursera.org/learn/protect-business-innovations-trademark  3. Patent:          https://www.coursera.org/learn/protect-business-innovations-patent 4. Strategy:       https://www.coursera.org/learn/protect-business-innovations-strategy",service innovation  Innovation  Patent Law  intellectual property  ordered pair  law  utility  Planning  business process  cost business business-strategy
Foundations of Objective-C App Development,"University of California, Irvine",Beginner,4.7,https://www.coursera.org/learn/objective-c,"An introduction to the Objective-C programming language.  This will prepare you for more extensive iOS app development and build a foundation for Advanced iOS development topics.  Objective-C programming requires a Mac laptop or desktop computer.  An iOS device is optional if the learner is willing to working exclusively with the simulator.  Some learners have been able to work with an OS X virtual machine on Windows, but explaining how to do that is beyond the scope of this course.  Upon completing this course, you will be able to: 1.       Read and write Objective-C 2.       Have a strong grasp of Objective-C objects 3.       Organize their code professionally using objects and blocks 4.       Prototype several entry-level apps",iOS Development  printf format string  xcode  c programming  Computer Programming  euler's totient function  objective-c  Swift Programming  c++  ordered pair computer-science mobile-and-web-development
Programming Mobile Applications for Android Handheld Systems: Part 2,"University of Maryland, College Park",Advanced,4.7,https://www.coursera.org/learn/android-programming-2,"This course introduces you to the design and implementation of Android applications for mobile devices. You will build upon concepts from the prior course, including handling notifications, using multimedia and graphics and incorporating touch and gestures into your apps.",notification area  interaction technique  Android Development  Software Engineering  mobile app  shell (computing)  widget (gui)  php  graphical user interface elements  Databases computer-science mobile-and-web-development
Analyzing Market Attractiveness Using Creately,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/analyzing-market-attractiveness-creately,"By the end of this 2 hour-long guided project, you will be fluent in identifying and analyzing business markets and how to discover their attractiveness to new products and services. This project is designed to engage and harness your visionary and exploratory abilities. You will be using proven models in competitive strategy and the Creately platform to explore and analyze the factors that contribute to business success. This is an important step for individuals or companies wanting to explore new markets for products or services.   You will engage in evaluating through examples and hands-on practice examining business immediate forces shaping markets including competitors, suppliers, buyers, threats of new businesses entering the segment, and substitute products. You will be ready to take an entrepreneurial idea through a scientific and logical process, helping you validate your ideas for new business or service. This Course furthers the knowledge and skills acquired during ""Analyzing Macro-Environmental Factors Using Creately"", and is important step in engineering a successful product or service.",Financial Analysis  market (economics)  Strategy  Business Strategy  attractiveness  competitiveness  supply chain  business plan  porter's five forces analysis  analysis business business-strategy
Personal Leadership Development Planning and Leading High Performing Teams,Rice University,Advanced,4.7,https://www.coursera.org/learn/leadership-development-planning,"An actionable leadership improvement plan enables you to leverage strengths and close the gaps on weaknesses. In this course, you will build your own plan that you can put into practice immediately and realize goals within the next two years. It lays the foundation for an evergreen process of selection and prioritization of skills, and action planning for sustained leadership development.",personal advertisement  performance  Leadership Development  self-assessment  delegation  smart criteria  motivation  leadership  empowerment  competence (human resources) business leadership-and-management
Teaching Children with Visual Impairment: Creating Empowering Classrooms,University of Cape Town,Beginner,4.9,https://www.coursera.org/learn/teach-children-with-visual-impairment,"In the education of children with visual impairment, there is at present a global movement away from segregated special schooling, and towards inclusive neighbourhood schools. Inclusion provides an opportunity for everyone, teachers as well as learners, to become more acquainted about life with visual impairment and to overcome some of the barriers of difference which have existed in the past. But if it is to be successful, teachers and others require key skills and insights in order to create classroom environments which fully accommodate the learning needs of children with visual impairment. In this course, you will discover the visually impaired child by recognizing that there are many different eye conditions and that each affects learning and behavior differently. During the course, we will explore the Expanded Core Curriculum, which is a collection of content areas that teachers integrate into the core curriculum to give visually impaired learners access to knowledge that sighted learners gain through observation. You will also learn how to make your classroom, the content, your teaching, and the assessments accessible through curriculum differentiation strategies. By the end of the course you will have the necessary tools to create empowering classrooms where you can teach children with visual impairment in an inclusive, accessible, and attuned space.  You will be able to purchase a Verified Certificate if you wish to show evidence of your achievements, but this is optional, and you may apply for Financial Aid if you are unable to pay the certificate fee.",child development  education  teaching  peer support  Special Education  experience  learning styles  psychosocial  assistive technology  child social-sciences education
Intercultural Communication and Conflict Resolution,"University of California, Irvine",Advanced,4.3,https://www.coursera.org/learn/intercultural-communication,"Intercultural Communication and Conflict Resolution is a growing area of importance considering the pace and volume of global transactions.  The ease of global communication using technology, the abundance of cheaper transportation costs, and the frequency of businesses using cross-border talent is fostering millions of interactions a day between people of different cultures.  Examine how the process of communication can be further complicated during interactions between people of different cultures. The topics of stereotypes, generalizations, communication styles, communication strategies, and communication orientations will be explored.  Upon completing this course, you will be able to: 1.       Explain the dimensions of intercultural interactions that add to conflict 2.       Analyze the dynamics of intercultural interactions 3.       Plan strategies for success in intercultural interactions",relative change and difference  international relations  psychological first aid  cross-cultural communication  Planning  Office Administration  intercultural communication  Communication  Culture  conflict resolution business business-essentials
Prediction and Control with Function Approximation,University of Alberta,Beginner,4.8,https://www.coursera.org/learn/prediction-control-function-approximation,"In this course, you will learn how to solve problems with large, high-dimensional, and potentially infinite state spaces. You will see that estimating value functions can be cast as a supervised learning problem---function approximation---allowing you to build agents that carefully balance generalization and discrimination in order to maximize reward. We will begin this journey by investigating how our policy evaluation or prediction methods like Monte Carlo and TD can be extended to the function approximation setting. You will learn about feature construction techniques for RL, and representation learning via neural networks and backprop. We conclude this course with a deep-dive into policy gradient methods; a way to learn policies directly without learning a value function. In this course you will solve two continuous-state control tasks and investigate the benefits of policy gradient methods in a continuous-action environment.   Prerequisites: This course strongly builds on the fundamentals of Courses 1 and 2, and learners should have completed these before starting this course.  Learners should also be comfortable with probabilities & expectations, basic linear algebra, basic calculus, Python 3.0 (at least 1 year), and  implementing algorithms from pseudocode.  By the end of this course, you will be able to:   -Understand how to use supervised learning approaches to approximate value functions -Understand objectives for prediction (value estimation) under function approximation -Implement TD with function approximation (state aggregation), on an environment with an infinite state space (continuous state space) -Understand fixed basis and neural network approaches to feature construction  -Implement TD with neural network function approximation in a continuous state environment -Understand new difficulties in exploration when moving to function approximation -Contrast discounted problem formulations for control versus an average reward problem formulation -Implement expected Sarsa and Q-learning with function approximation on a continuous state control task -Understand objectives for directly estimating policies (policy gradient objectives) -Implement a policy gradient method (called Actor-Critic) on a discrete state environment",reinforcement  Gradient  gradient descent  Reinforcement Learning  approximation  markov decision process  euler's totient function  function approximation  Human Learning  table of keyboard shortcuts data-science machine-learning
Foundations of Teaching for Learning: Introduction,Commonwealth Education Trust,Intermediate,4.5,https://www.coursera.org/learn/teaching,"The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight course programme will see you develop and strengthen your skills in teaching, professionalism, assessment, and more. As you carry on through the programme, you will find yourself strengthening not only your skills, but your connection with colleagues across the globe. A professional development opportunity not to be missed.   This introductory course considers the three domains of being a teacher:  Professional Knowledge and Understanding; Professional Practice; and Professional Values, Relationships and Engagement.  Enhance your course by joining the Commonwealth teaching community on our website, Facebook and Twitter.",psychology  Human Learning  interpersonal relationships  educational practices  teaching  teaching method  proactivity  thought  child development  Planning social-sciences education
Change Leadership: Developing Force Field Analysis in Miro,Coursera Project Network,Advanced,5,https://www.coursera.org/learn/change-force-analysis,"By the end of this guided project, you will be fluent in identifying and mapping forces for Force Field Analysis using a hands-on example. This will enable you to map and rate the forces which is important in for validating, preparing, and managing change in professional and personal life.   Change happens all the time and in being able to identify factors involved in change and preparing to manage change you increase your chances for success. This analysis will help you if you are in: + Strategy development + Program Management + Project Management + Business Process Re-Engineering + Product Development + Organisational Development And much more. On a personal level this analysis can help you to map Forces for Change and Forces Against Change for different settings. For example: + Competing in sports + Having a professional goal + Developing a good habit  Furthermore, this guided project is designed to engage and harness your visionary and exploratory abilities. And further equip you with the knowledge to utilise the learned concepts, methodologies, and tools to prepare for change in various settings.",business case  personal advertisement  Mapping  Planning  project  Map  e-nable  Change Management  Writing  enabling business business-strategy
Lesson | Telephone Language,Georgia Institute of Technology,Not Calibrated,4.5,https://www.coursera.org/learn/lesson-telephone-language,"This lesson is part of a full course, Speak English Professionally: In Person, Online & On the Phone. Take this lesson to get a short tutorial on the learning objectives covered. To dive deeper into this topic, take the full course.   By the end of this lesson, you will be able to identify telephone language through phone dialogues.",speech  language  Marketing  law  B2B Marketing  Digital Marketing  english language  online learning community  Accounting  E-Commerce language-learning learning-english
Privacy in the USA,EIT Digital,Advanced,4.6,https://www.coursera.org/learn/privacy-laws-us,"After having followed Privacy in the Western world you have become acquainted with the overall global legal system and the origins of privacy as a concept as well as privacy as a (human) right. This course deals with the American legal system to protect privacy.  In the USA privacy is protected through different legal concepts. Constitutional protection through the 4th Amendment plays a crucial role in protecting the US citizen against unjust governmental intrusion. As part of a myriad of consumer protection laws (e.g. health, financial) personal data is also protected. And last but not least there are a number of specific laws dealing with the (privacy) protection of all sorts of communications, such as mobile telephony, e-mail, online searches, etc.   The course deals with the main legal concepts in such a way that the learner will, after having successfully completed the course, be able to follow the legal developments in the USA.   We hope you enjoy the course!",american law  personally identifiable information  security  privacy  data protection  telecommunications  litigation public relations  financial privacy  stemming  law social-sciences law
Japanese for beginners 2,Saint Petersburg State University,Beginner,4.4,https://www.coursera.org/learn/japanese-2,"Japanese language has become extremely popular among learners in recent years, since it is the best way to explore one of the richest and most mysterious cultures of the modern East. This course is  aimed at those who are interested in understanding Japanese way of thinking and view of the world through learning the language. Course materials are provided by the teaching staff from the Department of Japan Studies. Upon completion of this course the learners will be able:  1. To read texts in Japanese and write using the hiragana and katakana scripts as well as the kanji characters. 2. To understand basic vocabulary in speech and use it in everyday communicative situations (shopping, traveling, visiting friends, phone conversations etc). 3. To form their own sentences using the provided grammar material. This course introduces a lot of new grammar constructions, useful vocabulary and conversational phrases to the learners, who already completed Japanese for beginners 1. Five units of this course aim to enrich learners oral and written speech and help in acquiring fluency in Japanese.",shopping  japanese language  grammar  Writing  materials  linguistics  listening  korean language  process  video game development language-learning other-languages
